HP,MPG,VOL,SP,WT,,,SP,,Normalized_SP,Normalized_WT,Standard_SP,Standard_WT,,,
49,53.70068138,89,104.1853528,28.7620589,,Mean,121.5402722,,-1.223777676,-0.487202605,0.0659747,0.349986255,,,
55,50.01340115,92,105.4612635,30.46683298,,Stdev,14.18143157,,-1.133807162,-0.259681368,0.08419325,0.395709172,,0,0
55,50.01340115,92,105.4612635,30.19359657,,,,,-1.133807162,-0.296147834,0.08419325,0.388380831,,1,1
70,45.69632238,92,113.4612635,30.63211391,,,WT,,-0.569689219,-0.237622773,0.198424123,0.400142091,,,
53,50.50423183,92,104.4612635,29.88914864,,Mean,32.41257691,,-1.204321904,-0.336779828,0.06991439,0.380215381,,,
70,45.69632238,89,113.1853528,29.59176832,,Stdev,7.492812997,,-0.589144991,-0.376468569,0.194484433,0.372239488,,,
55,50.01340115,92,105.4612635,30.30847957,,,,,-1.133807162,-0.280815408,0.08419325,0.391462052,,,
62,46.71655428,50,102.5985128,15.84775807,,Min_SP,-1.549587251,,-1.335673291,-2.210761011,0.043316436,0.003618075,,,
62,46.71655428,50,102.5985128,16.35948352,,Max_SP,3.388814477,,-1.335673291,-2.142465506,0.043316436,0.017342814,,,
80,42.29907817,94,115.6452041,30.92015417,,Min_SP,99.56490661,,-0.415689209,-0.199180567,0.229608303,0.407867479,,,
73,44.65283424,89,111.1853528,29.36334142,,Max_SP,169.5985128,,-0.730174477,-0.406954703,0.165926715,0.366112961,,,
92,39.3540941,50,117.5985128,15.75353468,,,,,-0.277952149,-2.22333618,0.257499323,0.001090955,,,
92,39.3540941,99,122.1050553,32.81359241,,Min_WT,-2.228764869,,0.039825536,0.05352002,0.321847609,0.458650465,,,
73,44.65283424,89,111.1853528,29.3784363,,Max_WT,2.747322729,,-0.730174477,-0.404940122,0.165926715,0.366517814,,,
66,45.73489292,89,108.1853528,29.34727902,,Min_WT,15.71285853,,-0.941718705,-0.409098411,0.123090137,0.365682159,,,
73,44.65283424,89,111.1853528,29.60452658,,Max_WT,52.99775236,,-0.730174477,-0.374765836,0.165926715,0.372581671,,,
78,42.78990885,91,114.3692933,29.5357836,,,,,-0.505659731,-0.383940359,0.211389753,0.370737949,,,
92,39.3540941,50,117.5985128,16.19412154,,5.28795E-15,2.27527E-16,,-0.277952149,-2.164534918,0.257499323,0.012907721,,,
78,42.78990885,91,114.3692933,29.92939368,,1,1,,-0.505659731,-0.331408675,0.211389753,0.381294774,,,
90,38.90183397,103,118.4729364,33.51697417,,,,,-0.216292394,0.147394211,0.269985095,0.477515525,,,
92,38.4110033,99,119.1050553,32.32464971,,,,,-0.171718692,-0.011734872,0.279011031,0.44553677,,,
74,42.8284794,107,110.8408174,34.90821127,,,,,-0.754469302,0.333070418,0.161007142,0.514829218,,,
95,38.31060597,101,120.2889958,32.6758277,,,,,-0.088233432,0.035133773,0.295916351,0.454955544,,,
81,40.47472334,96,113.8291446,31.83712236,,,,,-0.543748178,-0.076800869,0.203677045,0.432461036,,,
95,38.31060597,89,119.1853528,28.78172789,,,,,-0.166056534,-0.484577557,0.280157588,0.350513788,,,
